yorum,konu,sentiment,sentiment_score,duygu
üyelik istememesi çok güzel birşey emeğinize sağlık 🤗,arayüz,pozitif,90,mutluluk
Reklamlarında İnternetsiz diyor ama uygulamada İnterneti kapatınca çevrimdışısınız diyor ve müzikleri dinleyemiyoruz,reklam,negatif,30,hayal kırıklığı
çok güzel bir içerik istediğiniz şarkıyı dinliyorsunuz,içerik,pozitif,90,mutluluk
Kötü bir uygulama. İnternette bağlı olmama rağmen donuyor ses kesiliyor.,performans,negatif,20,hayal kırıklığı
dinlemek istediğim bir şarkıya tıklıyorum başka bir şarkı çalıyor premium satın al diye pencere açılıyor ya premium satın alacaksın ya da benzer bir şarkıyı dinleyeceksin diyor istediğim şarkıyı dinleyemedikten sonra ne halta yarar boşa yüklemeyin,arayüz,negatif,70,"hayal kırıklığı, öfke"
çok güzel,genel,pozitif,90,mutluluk
Güzeldi ama istediğim şarkılarını orijinali yoktu. Başka versiyonları vardı.,içerik,nötr,50,beklenti
"fizy kulanmamanızı tavsiye ediyorum, abonelik almayın hiç iyi değil iptalde edemiyorsunuz.",arayüz/fiyat,negatif,20,hayal kırıklığı
istediğim her şarkı ve türküyü dinleyebiliyorum.,içerik,pozitif,90,mutluluk
İnternetsiz dinlenmiyor reklamlarda internetsiz dinlenebilir diye gördüm ama olmuyor,reklam,negatif,20,hayal kırıklığı
Spotify la aynı hiç sorunu yok hatta nerdeyse hiç reklam girmiyor çok güzel hiç sorun yok benim müzikte favori uygulamam,performans/arayüz/reklam,pozitif,90,mutluluk
gayet güzel iyi vakit geçirmek için ideal,performans,pozitif,80,mutluluk
Uygulamada çalma listesine fotoğraf koymak istediğimde İşleminiz gerçekleştirilirken bir hata oluştu lütfen bizimle iletişime geçin diyor iletişime geçincede çözüm yok deniyor,arayüz,negatif,20,hayal kırıklığı
Arabada şarkı geçişleri sıkıntılı olmasa her şey daha güzel olabilirdi demiştim 2 ay önce destek ekibinin de. Önerdiği her birşeyi yaptım düzelmedi lsiteler iyi ses kalitesi ama fizyi sadece arabaa da açıp ikinci şarkıya geçişte ekran da yazmaması gerçekten sinirlerimi bozuyor kaç kere sildim iptal ettim başka programlar yapmıyor tek fizyde sorun ☹️☹️,arayüz,negatif,30,sinir
uygulama çok iyi teşekkürler 👏🏻🫶🏻,performans/arayüz,pozitif,90,mutluluk
çok güzel,genel,pozitif,90,mutluluk
"sarkı mı, reklam mı dinliyoruz anlamıyorum. şarkı araları yetmezmiş gibi şarkıyı yarına kesip reklam yapma şeytanın bile aklına gelmezdi. tebrik ediyorum.",reklam,negatif,70,"öfke, hayal kırıklığı"
aradığınız çoğu müzik yok güncelleme getirilmesi gerekiyor,içerik,negatif,20,hayal kırıklığı
hiç sevmedim uygulama bana kafayı yedirti sadece rock your body dinlemek istemiştim.,uygulama,negatif,10,hayal kırıklığı
harika,performans,pozitif,90,mutluluk
üyeliğimi iptal etmek istiyorum ama yapamadım yardımcı olur musunuz ?,arayüz,negatif,20,hayal kırıklığı
aradığım müziklerin hiç birisi yok çok saçma bi platform kullanışlıda değil tavsiye etmiyorum,arayüz/içerik/fiyat,negatif,10,hayal kırıklığı
çok iyi bir uygulama ama imternetsiz,performans/arayüz/fiyat,pozitif,80,memnuniyet
👍,performans,pozitif,90,mutluluk
üretsiz ve şifresizmi,performans/arayüz/fiyat,negatif,20,hayal kırıklığı
Güzel.Yıllardır kullanıyorum.,performans,pozitif,80,mutluluk
Bu nasıl bir sagısızlıktır dinleyicinize karşı bir hakarettir .ŞARKININ ORTASINDA REKLAMIN AÇILMASI ŞAKAMISINIZ SİZ.,performans,negatif,90,"öfke, hayal kırıklığı"
Yürübe FİZY,performans,pozitif,80,mutluluk
